LocationTitle,AddressStreetInfo,City,State,Zipcode,Latitude,Longitude,GroupTitle,Day,Start,End,MeetingType
Harlem Children's Zone Admin. Offices,35 East 125 Street,New York,NY,10035,"40.805958,-73.940763,09,"125",Saturdays,4:15 PM,5:30 PM,B
122 East 37th Street,122 East 37th Street,New York,NY,10016,"40.7483929,-73.9787906,05,"mustard seed",Tuesdays,7:30 AM,8:30 AM,C
122 East 37th Street,122 East 37th Street,New York,NY,10016,"40.7483929,-73.9787906,05,"mustard seed",Mondays,7:30 AM,8:30 AM,C
122 East 37th Street,122 East 37th Street,New York,NY,10016,"40.7483929,-73.9787906,05,"mustard seed",Tuesdays,7:30 AM,8:30 AM,C
122 East 37th Street,122 East 37th Street,New York,NY,10016,"40.7483929,-73.9787906,05,"mustard seed",Sundays,7:30 AM,8:30 AM,C
122 East 37th Street,122 East 37th Street,New York,NY,10016,"40.7483929,-73.9787906,05,"mustard seed",Mondays,7:30 AM,8:30 AM,C
122 East 37th Street,122 East 37th Street,New York,NY,10016,"40.7483929,-73.9787906,05,"mustard seed",Fridays,7:30 AM,8:30 AM,C
122 East 37th Street,122 East 37th Street,New York,NY,10016,"40.7483929,-73.9787906,05,"mustard seed",Thursdays,7:30 AM,8:30 AM,C
122 East 37th Street,122 East 37th Street,New York,NY,10016,"40.7483929,-73.9787906,05,"mustard seed",Saturdays,8:00 AM,9:00 AM,C
122 East 37th Street,122 East 37th Street,New York,NY,10016,"40.7483929,-73.9787906,05,"mustard seed",Saturdays,8:00 AM,9:00 AM,C
122 East 37th Street,122 East 37th Street,New York,NY,10016,"40.7483929,-73.9787906,05,"mustard seed",Thursdays,8:00 AM,9:00 AM,C
122 East 37th Street,122 East 37th Street,New York,NY,10016,"40.7483929,-73.9787906,05,"mustard seed",Sundays,8:15 AM,9:15 AM,C
122 East 37th Street,122 East 37th Street,New York,NY,10016,"40.7483929,-73.9787906,05,"mustard seed",Thursdays,9:30 AM,10:30 AM,C
122 East 37th Street,122 East 37th Street,New York,NY,10016,"40.7483929,-73.9787906,05,"mustard seed",Wednesdays,9:30 AM,10:30 AM,C
122 East 37th Street,122 East 37th Street,New York,NY,10016,"40.7483929,-73.9787906,05,"mustard seed",Tuesdays,9:30 AM,10:30 AM,C
122 East 37th Street,122 East 37th Street,New York,NY,10016,"40.7483929,-73.9787906,05,"mustard seed",Mondays,9:30 AM,10:30 AM,C
122 East 37th Street,122 East 37th Street,New York,NY,10016,"40.7483929,-73.9787906,05,"mustard seed",Sundays,9:30 AM,10:30 AM,C
122 East 37th Street,122 East 37th Street,New York,NY,10016,"40.7483929,-73.9787906,05,"mustard seed",Sundays,9:30 AM,10:30 AM,S
122 East 37th Street,122 East 37th Street,New York,NY,10016,"40.7483929,-73.9787906,05,"mustard seed",Saturdays,9:30 AM,10:30 AM,C
122 East 37th Street,122 East 37th Street,New York,NY,10016,"40.7483929,-73.9787906,05,"mustard seed",Fridays,9:30 AM,10:30 AM,C
122 East 37th Street,122 East 37th Street,New York,NY,10016,"40.7483929,-73.9787906,05,"mustard seed",Saturdays,10:00 AM,11:00 AM,BB
122 East 37th Street,122 East 37th Street,New York,NY,10016,"40.7483929,-73.9787906,05,"mustard seed",Sundays,11:00 AM,12:00 PM,BB
122 East 37th Street,122 East 37th Street,New York,NY,10016,"40.7483929,-73.9787906,05,"mustard seed",Fridays,11:30 AM,12:30 PM,C
122 East 37th Street,122 East 37th Street,New York,NY,10016,"40.7483929,-73.9787906,05,"mustard seed",Thursdays,11:30 AM,12:30 PM,C
122 East 37th Street,122 East 37th Street,New York,NY,10016,"40.7483929,-73.9787906,05,"mustard seed",Wednesdays,11:30 AM,12:30 PM,C
122 East 37th Street,122 East 37th Street,New York,NY,10016,"40.7483929,-73.9787906,05,"mustard seed",Tuesdays,11:30 AM,12:30 PM,C
122 East 37th Street,122 East 37th Street,New York,NY,10016,"40.7483929,-73.9787906,05,"mustard seed",Mondays,11:30 AM,12:30 PM,C
122 East 37th Street,122 East 37th Street,New York,NY,10016,"40.7483929,-73.9787906,05,"mustard seed",Saturdays,12:45 PM,1:45 PM,C
122 East 37th Street,122 East 37th Street,New York,NY,10016,"40.7483929,-73.9787906,05,"mustard seed",Fridays,12:45 PM,1:45 PM,C
122 East 37th Street,122 East 37th Street,New York,NY,10016,"40.7483929,-73.9787906,05,"mustard seed",Thursdays,12:45 PM,1:45 PM,C
122 East 37th Street,122 East 37th Street,New York,NY,10016,"40.7483929,-73.9787906,05,"mustard seed",Wednesdays,12:45 PM,1:45 PM,C
122 East 37th Street,122 East 37th Street,New York,NY,10016,"40.7483929,-73.9787906,05,"mustard seed",Tuesdays,12:45 PM,1:45 PM,C
122 East 37th Street,122 East 37th Street,New York,NY,10016,"40.7483929,-73.9787906,05,"mustard seed",Mondays,12:45 PM,1:45 PM,C
122 East 37th Street,122 East 37th Street,New York,NY,10016,"40.7483929,-73.9787906,05,"mustard seed",Sundays,12:45 PM,1:45 PM,S
122 East 37th Street,122 East 37th Street,New York,NY,10016,"40.7483929,-73.9787906,05,"mustard seed",Sundays,3:00 PM,4:00 PM,C
122 East 37th Street,122 East 37th Street,New York,NY,10016,"40.7483929,-73.9787906,05,"mustard seed",Fridays,3:15 PM,4:15 PM,C
122 East 37th Street,122 East 37th Street,New York,NY,10016,"40.7483929,-73.9787906,05,"mustard seed",Thursdays,3:15 PM,4:15 PM,C
122 East 37th Street,122 East 37th Street,New York,NY,10016,"40.7483929,-73.9787906,05,"mustard seed",Wednesdays,3:15 PM,4:15 PM,C
122 East 37th Street,122 East 37th Street,New York,NY,10016,"40.7483929,-73.9787906,05,"mustard seed",Tuesdays,3:15 PM,4:15 PM,C
122 East 37th Street,122 East 37th Street,New York,NY,10016,"40.7483929,-73.9787906,05,"mustard seed",Mondays,3:15 PM,4:15 PM,C
122 East 37th Street,122 East 37th Street,New York,NY,10016,"40.7483929,-73.9787906,05,"mustard seed",Saturdays,5:30 PM,6:30 PM,B
122 East 37th Street,122 East 37th Street,New York,NY,10016,"40.7483929,-73.9787906,05,"mustard seed",Sundays,6:15 PM,7:00 PM,B
122 East 37th Street,122 East 37th Street,New York,NY,10016,"40.7483929,-73.9787906,05,"mustard seed",Fridays,6:15 PM,7:15 PM,B
122 East 37th Street,122 East 37th Street,New York,NY,10016,"40.7483929,-73.9787906,05,"mustard seed",Thursdays,6:15 PM,7:15 PM,C
122 East 37th Street,122 East 37th Street,New York,NY,10016,"40.7483929,-73.9787906,05,"mustard seed",Wednesdays,6:15 PM,7:15 PM,C
122 East 37th Street,122 East 37th Street,New York,NY,10016,"40.7483929,-73.9787906,05,"mustard seed",Tuesdays,6:15 PM,7:15 PM,B
122 East 37th Street,122 East 37th Street,New York,NY,10016,"40.7483929,-73.9787906,05,"mustard seed",Wednesdays,6:15 PM,7:15 PM,BB
122 East 37th Street,122 East 37th Street,New York,NY,10016,"40.7483929,-73.9787906,05,"mustard seed",Mondays,6:15 PM,7:15 PM,B
122 East 37th Street,122 East 37th Street,New York,NY,10016,"40.7483929,-73.9787906,05,"mustard seed",Tuesdays,6:15 PM,7:15 PM,S
122 East 37th Street,122 East 37th Street,New York,NY,10016,"40.7483929,-73.9787906,05,"mustard seed",Fridays,7:30 PM,8:30 PM,OD
122 East 37th Street,122 East 37th Street,New York,NY,10016,"40.7483929,-73.9787906,05,"mustard seed",Saturdays,7:30 PM,8:30 PM,Meditation
122 East 37th Street,122 East 37th Street,New York,NY,10016,"40.7483929,-73.9787906,05,"mustard seed",Tuesdays,8:00 PM,9:00 PM,C
122 East 37th Street,122 East 37th Street,New York,NY,10016,"40.7483929,-73.9787906,05,"mustard seed",Sundays,8:00 PM,9:00 PM,B
122 East 37th Street,122 East 37th Street,New York,NY,10016,"40.7483929,-73.9787906,05,"mustard seed",Thursdays,8:00 PM,9:00 PM,C
122 East 37th Street,122 East 37th Street,New York,NY,10016,"40.7483929,-73.9787906,05,"mustard seed",Wednesdays,8:00 PM,9:00 PM,S
122 East 37th Street,122 East 37th Street,New York,NY,10016,"40.7483929,-73.9787906,05,"mustard seed",Mondays,8:00 PM,9:00 PM,B
122 East 37th Street,122 East 37th Street,New York,NY,10016,"40.7483929,-73.9787906,05,"mustard seed",Fridays,10:00 PM,11:00 PM,OD
30 East 35th Street,30 East 35th Street,New York,NY,10016,"40.7496221,-73.9855348,05,"breakfast club",Tuesdays,7:30 AM,8:30 AM,S
30 East 35th Street,30 East 35th Street,New York,NY,10016,"40.7496221,-73.9855348,05,"breakfast club",Wednesdays,7:30 AM,8:30 AM,OD
30 East 35th Street,30 East 35th Street,New York,NY,10016,"40.7496221,-73.9855348,05,"breakfast club",Thursdays,7:30 AM,8:30 AM,O
30 East 35th Street,30 East 35th Street,New York,NY,10016,"40.7496221,-73.9855348,05,"breakfast club",Fridays,7:30 AM,8:30 AM,OD
30 East 35th Street,30 East 35th Street,New York,NY,10016,"40.7496221,-73.9855348,05,"breakfast club",Mondays,7:30 AM,8:30 AM,OD
Cathedral High School,350 East 56th Street,New York,NY,10022,"40.757654,-73.963834,05,"carlyle",Mondays,5:45 PM,6:45 PM,B
Cathedral High School,350 East 56th Street,New York,NY,10022,"40.757654,-73.963834,05,"carlyle",Wednesdays,5:45 PM,6:45 PM,B
St. Peter's Lutheran Church @ Citicorp Center,619 Lexington Avenue,New York,NY,10022,"40.7588016,-73.9704542,05,"city group",Thursdays,7:30 AM,8:30 AM,OD
St. Peter's Lutheran Church @ Citicorp Center,619 Lexington Avenue,New York,NY,10022,"40.7588016,-73.9704542,05,"city group",Mondays,7:30 AM,8:30 AM,S
St. Peter's Lutheran Church @ Citicorp Center,619 Lexington Avenue,New York,NY,10022,"40.7588016,-73.9704542,05,"city group",Wednesdays,7:30 AM,8:30 AM,OD
St. Peter's Lutheran Church @ Citicorp Center,619 Lexington Avenue,New York,NY,10022,"40.7588016,-73.9704542,05,"city group",Fridays,7:45 AM,8:45 AM,B
St. Peter's Lutheran Church @ Citicorp Center,619 Lexington Avenue,New York,NY,10022,"40.7588016,-73.9704542,05,"city group",Mondays,12:30 PM,1:30 PM,B
St. Peter's Lutheran Church @ Citicorp Center,619 Lexington Avenue,New York,NY,10022,"40.7588016,-73.9704542,05,"city group",Mondays,12:30 PM,1:30 PM,S
St. Peter's Lutheran Church @ Citicorp Center,619 Lexington Avenue,New York,NY,10022,"40.7588016,-73.9704542,05,"city group",Tuesdays,12:30 PM,1:30 PM,B
St. Peter's Lutheran Church @ Citicorp Center,619 Lexington Avenue,New York,NY,10022,"40.7588016,-73.9704542,05,"city group",Thursdays,12:30 PM,1:30 PM,O
St. Peter's Lutheran Church @ Citicorp Center,619 Lexington Avenue,New York,NY,10022,"40.7588016,-73.9704542,05,"city group",Wednesdays,12:30 PM,1:30 PM,B
St. Peter's Lutheran Church @ Citicorp Center,619 Lexington Avenue,New York,NY,10022,"40.7588016,-73.9704542,05,"city group",Wednesdays,12:30 PM,1:30 PM,S
St. Peter's Lutheran Church @ Citicorp Center,619 Lexington Avenue,New York,NY,10022,"40.7588016,-73.9704542,05,"city group",Thursdays,12:30 PM,1:30 PM,B
St. Peter's Lutheran Church @ Citicorp Center,619 Lexington Avenue,New York,NY,10022,"40.7588016,-73.9704542,05,"city group",Fridays,12:30 PM,1:30 PM,B
St. Peter's Lutheran Church @ Citicorp Center,619 Lexington Avenue,New York,NY,10022,"40.7588016,-73.9704542,05,"city group",Fridays,12:30 PM,1:30 PM,BB
St. Peter's Lutheran Church @ Citicorp Center,619 Lexington Avenue,New York,NY,10022,"40.7588016,-73.9704542,05,"city group",Tuesdays,12:30 PM,1:30 PM,S
J.H. Holmes Community House,28 East 35th Street,New York,NY,10016,"40.7496065,-73.9854965,05,"empire state",Mondays,12:15 PM,1:15 PM,C
J.H. Holmes Community House,28 East 35th Street,New York,NY,10016,"40.7496065,-73.9854965,05,"empire state",Wednesdays,12:15 PM,1:15 PM,S
J.H. Holmes Community House,28 East 35th Street,New York,NY,10016,"40.7496065,-73.9854965,05,"empire state",Fridays,12:15 PM,1:15 PM,B
Cathedral High School ,350 East 56th Street,New York,NY,10022,"40.757654,-73.963834,05,"gotham",Sundays,5:30 PM,6:30 PM,B
Cathedral High School ,350 East 56th Street,New York,NY,10022,"40.757654,-73.963834,05,"gotham",Sundays,5:30 PM,6:30 PM,S
Cathedral High School ,350 East 56th Street,New York,NY,10022,"40.757654,-73.963834,05,"gotham",Tuesdays,5:45 PM,6:45 PM,OD
Soldiers, Sailors, Marines & Airmen's Club,283 Lexington Avenue,New York,NY,10016,"40.7479969,-73.9783809,05,"grand central",Mondays,5:30 PM,6:30 PM,B
Soldiers, Sailors, Marines & Airmen's Club,283 Lexington Avenue,New York,NY,10016,"40.7479969,-73.9783809,05,"grand central",Tuesdays,5:30 PM,6:30 PM,S
Soldiers, Sailors, Marines & Airmen's Club,283 Lexington Avenue,New York,NY,10016,"40.7479969,-73.9783809,05,"grand central",Fridays,5:30 PM,6:30 PM,C
Soldiers, Sailors, Marines & Airmen's Club,283 Lexington Avenue,New York,NY,10016,"40.7479969,-73.9783809,05,"grand central",Wednesdays,5:30 PM,6:30 PM,BB
Soldiers, Sailors, Marines & Airmen's Club,283 Lexington Avenue,New York,NY,10016,"40.7479969,-73.9783809,05,"grand central",Thursdays,5:30 PM,6:30 PM,OD
St. Peter's Lutheran Church @ CitiCorp Center,619 Lexington Avenue,New York,NY,10022,"40.7588016,-73.9704542,05,"life line",Mondays,5:30 PM,6:30 PM,B
St. Peter's Lutheran Church @ CitiCorp Center,619 Lexington Avenue,New York,NY,10022,"40.7588016,-73.9704542,05,"life line",Fridays,5:30 PM,6:30 PM,OD
St. Peter's Lutheran Church @ CitiCorp Center,619 Lexington Avenue,New York,NY,10022,"40.7588016,-73.9704542,05,"rebellion dogs",Tuesdays,7:30 AM,8:30 AM,C
St. Peter's Lutheran Church @ CitiCorp Center,619 Lexington Avenue,New York,NY,10022,"40.7588016,-73.9704542,05,"silkworth women's",Thursdays,12:30 PM,1:30 PM,C
Saint Agnes Church,141 East 43rd Street,New York,NY,10017,"40.7518754,-73.9747248,05,"lunch bunch",Mondays,12:30 PM,1:30 PM,B
Saint Agnes Church,141 East 43rd Street,New York,NY,10017,"40.7518754,-73.9747248,05,"lunch bunch",Tuesdays,12:30 PM,1:30 PM,C
Saint Agnes Church,141 East 43rd Street,New York,NY,10017,"40.7518754,-73.9747248,05,"lunch bunch",Wednesdays,12:30 PM,1:30 PM,S
Saint Agnes Church,141 East 43rd Street,New York,NY,10017,"40.7518754,-73.9747248,05,"lunch bunch",Thursdays,12:30 PM,1:30 PM,C
Saint Agnes Church,141 East 43rd Street,New York,NY,10017,"40.7518754,-73.9747248,05,"lunch bunch",Fridays,12:30 PM,1:30 PM,B
MUSTARD SEED,122 East 37TH St.,New York,NY,10016,"40.7483929,-73.9787906,05,"lunchtime express at the mustard seed",Wednesdays,12:30 PM,1:15 PM,O
Mustard Seed,122 East 37th Street,New York,NY,10016,"40.7483929,-73.9787906,05,"meditation saturday night",Saturdays,7:30 PM,8:30 PM,Eleventh
St. Agnes Church,141 East 43rd Street,New York,NY,10017,"40.7518754,-73.9747248,05,"monday men",Mondays,6:15 PM,7:15 PM,B
St. Agnes Church,141 East 43rd Street,New York,NY,10017,"40.7518754,-73.9747248,05,"monday men",Thursdays,6:15 PM,7:15 PM,S
St. Agnes Church,141 East 43rd Street,New York,NY,10017,"40.7518754,-73.9747248,05,"monday men",Mondays,7:15 PM,8:15 PM,C
Church of the Incarnation,209 Madison Avenue,New York,NY,10016,"40.7486487,-73.9821254,05,"murray hill",Mondays,6:15 PM,7:15 PM,B
The New York New Church,114 East 35th Street,New York,NY,10016,"40.7473169,-73.9800724,05,"saturday step",Saturdays,10:00 AM,11:00 AM,S
ALL SAINTS CHURCH,230 East 60th Street,New York,NY,10022,"40.7615607,-73.9649474,05,"serenity east",Tuesdays,7:30 AM,8:30 AM,BB
ALL SAINTS CHURCH,230 East 60th Street,New York,NY,10022,"40.7615607,-73.9649474,05,"serenity east",Fridays,6:30 PM,7:30 PM,S
ALL SAINTS CHURCH,230 East 60th Street,New York,NY,10022,"40.7615607,-73.9649474,05,"serenity east",Fridays,8:00 PM,9:00 PM,B
Caron Foundation,244 East 58th Street,New York,NY,10022,"40.7600925,-73.9653811,05,"serenity east (:i)",Tuesdays,5:30 PM,6:30 PM,BB
Caron Foundation,244 East 58th Street,New York,NY,10022,"40.7600925,-73.9653811,05,"tudor",Thursdays,6:15 PM,7:15 PM,OD
St. Bartholomew's Church,325 Park Avenue,New York,NY,10022,"40.7574552,-73.9733937,05,"st. bart's twelve-thirties",Fridays,12:30 PM,1:30 PM,BB
St. Bartholomew's Church,325 Park Avenue,New York,NY,10022,"40.7574552,-73.9733937,05,"st. bart's twelve-thirties",Mondays,12:30 PM,1:30 PM,C
St. Bartholomew's Church,325 Park Avenue,New York,NY,10022,"40.7574552,-73.9733937,05,"st. bart's twelve-thirties",Wednesdays,12:30 PM,1:30 PM,S
CHURCH OF THE GOOD SHEPARD,236 EAST 31st STREET,New York,NY,10016,"40.74314,-73.9781525,05,"straight 12",Saturdays,6:00 PM,7:00 PM,C
CHURCH OF THE GOOD SHEPARD,236 EAST 31st STREET,New York,NY,10016,"40.74314,-73.9781525,05,"straight 12",Saturdays,7:15 PM,8:15 PM,B
CHURCH OF THE GOOD SHEPARD,236 EAST 31st STREET,New York,NY,10016,"40.74314,-73.9781525,05,"straight 12",Saturdays,8:30 PM,9:30 PM,OD
Conservative Synagogue,308 East 55th Street,New York,NY,10022,"40.7576943,-73.9657436,05,"templeton",Wednesdays,6:15 PM,7:15 PM,OD
The Caron Foundation,244 East 58th Street,New York,NY,10022,"40.7600925,-73.9653811,05,"trafalgar",Tuesdays,6:45 PM,7:45 PM,OD
109 East 50th Street,109 East 50th Street,New York,NY,10022,"40.7569178,-73.97309,05,"women's eleventh step",Wednesdays,5:45 PM,7:15 PM,S
University Settlement,273 Bowery,New York,NY,10002,"40.7236736,-73.9924832,02,"a.a. on the bowery",Fridays,6:00 PM,7:00 PM,C
Manhattan Seventh-Day Adventist Church,232 West 11th Street,New York,NY,10014,"40.736193,-74.0028632,02,"after five",Thursdays,6:15 PM,7:15 PM,S
Manhattan Seventh-Day Adventist Church,232 West 11th Street,New York,NY,10014,"40.736193,-74.0028632,02,"together we can",Tuesdays,6:45 PM,8:00 PM,S
Seventh Day Adventist Church,232 West 11th Street,New York,NY,10014,"40.736193,-74.0028632,02,"artists in recovery (a.r.t.)",Sundays,6:30 PM,7:45 PM,B
Seventh Day Adventist Church,232 West 11th Street,New York,NY,10014,"40.736193,-74.0028632,02,"primetime nyc (i)",Thursdays,6:30 PM,7:45 PM,OD
Seventh Day Adventist Church,232 West 11th Street,New York,NY,10014,"40.736193,-74.0028632,02,"primetime nyc (i)",Tuesdays,6:30 PM,7:45 PM,S
220 West Houston Street,220 West Houston Street,New York,NY,10014,"40.7286385,-74.0045871,02,"bagels and big book",Sundays,10:30 AM,12:00 PM,OD
220 West Houston Street,220 West Houston Street,New York,NY,10014,"40.7286385,-74.0045871,02,"midnite",Mondays,12:00 AM,1:15 AM,S
220 West Houston Street,220 West Houston Street,New York,NY,10014,"40.7286385,-74.0045871,02,"midnite",Sundays,12:00 AM,1:15 AM,S
220 West Houston Street,220 West Houston Street,New York,NY,10014,"40.7286385,-74.0045871,02,"midnite",Wednesdays,12:00 AM,1:15 AM,B
220 West Houston Street,220 West Houston Street,New York,NY,10014,"40.7286385,-74.0045871,02,"midnite",Saturdays,12:00 AM,1:15 AM,C
220 West Houston Street,220 West Houston Street,New York,NY,10014,"40.7286385,-74.0045871,02,"midnite",Tuesdays,12:00 AM,1:15 AM,C
220 West Houston Street,220 West Houston Street,New York,NY,10014,"40.7286385,-74.0045871,02,"midnite",Fridays,12:00 AM,1:15 AM,C
220 West Houston Street,220 West Houston Street,New York,NY,10014,"40.7286385,-74.0045871,02,"midnite",Thursdays,12:00 AM,1:15 AM,C
220 West Houston Street,220 West Houston Street,New York,NY,10014,"40.7286385,-74.0045871,02,"midnite",Saturdays,2:00 AM,3:15 AM,OD
220 West Houston Street,220 West Houston Street,New York,NY,10014,"40.7286385,-74.0045871,02,"midnite",Tuesdays,2:00 AM,3:15 AM,OD
220 West Houston Street,220 West Houston Street,New York,NY,10014,"40.7286385,-74.0045871,02,"midnite",Fridays,2:00 AM,3:15 AM,OD
220 West Houston Street,220 West Houston Street,New York,NY,10014,"40.7286385,-74.0045871,02,"midnite",Mondays,2:00 AM,3:15 AM,OD
220 West Houston Street,220 West Houston Street,New York,NY,10014,"40.7286385,-74.0045871,02,"midnite",Thursdays,2:00 AM,3:15 AM,OD
220 West Houston Street,220 West Houston Street,New York,NY,10014,"40.7286385,-74.0045871,02,"midnite",Sundays,2:00 AM,3:15 AM,OD
220 West Houston Street,220 West Houston Street,New York,NY,10014,"40.7286385,-74.0045871,02,"midnite",Wednesdays,2:00 AM,3:15 AM,OD
220 West Houston Street,220 West Houston Street,New York,NY,10014,"40.7286385,-74.0045871,02,"midnite",Saturdays,12:30 PM,1:30 PM,C
220 West Houston Street,220 West Houston Street,New York,NY,10014,"40.7286385,-74.0045871,02,"midnite",Tuesdays,12:30 PM,1:30 PM,C
220 West Houston Street,220 West Houston Street,New York,NY,10014,"40.7286385,-74.0045871,02,"midnite",Mondays,12:30 PM,1:30 PM,C
220 West Houston Street,220 West Houston Street,New York,NY,10014,"40.7286385,-74.0045871,02,"midnite",Thursdays,12:30 PM,1:30 PM,S
220 West Houston Street,220 West Houston Street,New York,NY,10014,"40.7286385,-74.0045871,02,"midnite",Wednesdays,12:30 PM,1:30 PM,C
220 West Houston Street,220 West Houston Street,New York,NY,10014,"40.7286385,-74.0045871,02,"midnite",Fridays,12:30 PM,1:30 PM,C
220 West Houston Street,220 West Houston Street,New York,NY,10014,"40.7286385,-74.0045871,02,"midnite",Sundays,12:30 PM,1:30 PM,C
220 West Houston Street,220 West Houston Street,New York,NY,10014,"40.7286385,-74.0045871,02,"midnite",Tuesdays,5:15 PM,6:15 PM,C
220 West Houston Street,220 West Houston Street,New York,NY,10014,"40.7286385,-74.0045871,02,"midnite",Fridays,5:15 PM,6:15 PM,C
220 West Houston Street,220 West Houston Street,New York,NY,10014,"40.7286385,-74.0045871,02,"midnite",Thursdays,5:15 PM,6:15 PM,C
220 West Houston Street,220 West Houston Street,New York,NY,10014,"40.7286385,-74.0045871,02,"midnite",Sundays,5:15 PM,6:15 PM,S
220 West Houston Street,220 West Houston Street,New York,NY,10014,"40.7286385,-74.0045871,02,"midnite",Wednesdays,5:15 PM,6:15 PM,C
220 West Houston Street,220 West Houston Street,New York,NY,10014,"40.7286385,-74.0045871,02,"midnite",Mondays,5:15 PM,6:15 PM,C
220 West Houston Street,220 West Houston Street,New York,NY,10014,"40.7286385,-74.0045871,02,"midnite",Wednesdays,6:30 PM,7:30 PM,C
220 West Houston Street,220 West Houston Street,New York,NY,10014,"40.7286385,-74.0045871,02,"midnite",Saturdays,6:30 PM,7:30 PM,C
220 West Houston Street,220 West Houston Street,New York,NY,10014,"40.7286385,-74.0045871,02,"midnite",Tuesdays,6:30 PM,7:30 PM,C
220 West Houston Street,220 West Houston Street,New York,NY,10014,"40.7286385,-74.0045871,02,"midnite",Fridays,6:30 PM,7:30 PM,C
220 West Houston Street,220 West Houston Street,New York,NY,10014,"40.7286385,-74.0045871,02,"midnite",Mondays,6:30 PM,7:30 PM,B
220 West Houston Street,220 West Houston Street,New York,NY,10014,"40.7286385,-74.0045871,02,"midnite",Thursdays,6:30 PM,7:30 PM,C
220 West Houston Street,220 West Houston Street,New York,NY,10014,"40.7286385,-74.0045871,02,"midnite",Sundays,6:30 PM,7:30 PM,C
220 West Houston Street,220 West Houston Street,New York,NY,10014,"40.7286385,-74.0045871,02,"midnite",Sundays,8:00 PM,9:15 PM,BB
220 West Houston Street,220 West Houston Street,New York,NY,10014,"40.7286385,-74.0045871,02,"midnite",Wednesdays,8:00 PM,9:15 PM,C
220 West Houston Street,220 West Houston Street,New York,NY,10014,"40.7286385,-74.0045871,02,"midnite",Saturdays,8:00 PM,9:15 PM,O
220 West Houston Street,220 West Houston Street,New York,NY,10014,"40.7286385,-74.0045871,02,"midnite",Tuesdays,8:00 PM,9:15 PM,C
220 West Houston Street,220 West Houston Street,New York,NY,10014,"40.7286385,-74.0045871,02,"midnite",Mondays,8:00 PM,9:15 PM,C
220 West Houston Street,220 West Houston Street,New York,NY,10014,"40.7286385,-74.0045871,02,"midnite",Fridays,8:00 PM,9:15 PM,S
220 West Houston Street,220 West Houston Street,New York,NY,10014,"40.7286385,-74.0045871,02,"midnite",Thursdays,8:00 PM,9:15 PM,B
220 West Houston Street,220 West Houston Street,New York,NY,10014,"40.7286385,-74.0045871,02,"midnite",Sundays,10:00 PM,11:15 PM,C
220 West Houston Street,220 West Houston Street,New York,NY,10014,"40.7286385,-74.0045871,02,"midnite",Wednesdays,10:00 PM,11:15 PM,C
220 West Houston Street,220 West Houston Street,New York,NY,10014,"40.7286385,-74.0045871,02,"midnite",Saturdays,10:00 PM,11:15 PM,C
220 West Houston Street,220 West Houston Street,New York,NY,10014,"40.7286385,-74.0045871,02,"midnite",Tuesdays,10:00 PM,11:15 PM,S
220 West Houston Street,220 West Houston Street,New York,NY,10014,"40.7286385,-74.0045871,02,"midnite",Mondays,10:00 PM,11:15 PM,C
220 West Houston Street,220 West Houston Street,New York,NY,10014,"40.7286385,-74.0045871,02,"midnite",Fridays,10:00 PM,11:15 PM,B
220 West Houston Street,220 West Houston Street,New York,NY,10014,"40.7286385,-74.0045871,02,"midnite",Thursdays,10:00 PM,11:15 PM,C
220 West Houston Street,220 West Houston Street,New York,NY,10014,"40.7286385,-74.0045871,02,"women into action",Saturdays,4:45 PM,5:45 PM,C
Golden Bridge Yoga Center,253 Center Street,New York,NY,10013,"40.7206323,-73.9979756,02,"center meeting",Mondays,5:15 PM,6:15 PM,OD
University Settlement (The Chinatown YMCA),273 Bowery,New York,NY,10002,"40.7236736,-73.9924832,02,"east village sober agnostics",Fridays,6:45 PM,8:00 PM,OD
University Settlement (The Chinatown YMCA),273 Bowery,New York,NY,10002,"40.7236736,-73.9924832,02,"the captain's table",Thursdays,7:00 PM,8:00 PM,BB
St. Luke's Episcopal School,487 Hudson Street,New York,NY,10014,"40.7326,-74.0067,02,"greenwich village",Mondays,7:15 PM,8:15 PM,B
St. Luke's Episcopal School,487 Hudson Street,New York,NY,10014,"40.7326,-74.0067,02,"greenwich village",Tuesdays,7:15 PM,8:15 PM,BB
St. Luke's Episcopal School,487 Hudson Street,New York,NY,10014,"40.7326,-74.0067,02,"greenwich village",Wednesdays,7:15 PM,8:15 PM,OD
St. Luke's Episcopal School,487 Hudson Street,New York,NY,10014,"40.7326,-74.0067,02,"greenwich village",Fridays,8:00 PM,9:00 PM,S
St. Luke's Episcopal School,487 Hudson Street,New York,NY,10014,"40.7326,-74.0067,02,"greenwich village",Mondays,8:30 PM,9:30 PM,S
St. Augustine's Church,292 Henry Street,New York,NY,10002,"40.7137143,-73.983033,02,"grupo central",Sundays,3:00 PM,4:00 PM,O
St. Augustine's Church,292 Henry Street,New York,NY,10002,"40.7137143,-73.983033,02,"grupo central",Tuesdays,7:30 PM,8:30 PM,C
St. Augustine's Church,292 Henry Street,New York,NY,10002,"40.7137143,-73.983033,02,"grupo central",Fridays,8:00 PM,9:00 PM,O
Manhattan Church of The Seventh-day Adventist,232 West 11th Street,New York,NY,10014,"40.736193,-74.0028632,02,"happy, joyous and free",s,12:00 AM,12:00 AM,undefined
Manhattan Church of The Seventh-day Adventist,232 West 11th Street,New York,NY,10014,"40.736193,-74.0028632,02,"happy, joyous and free",Mondays,7:00 PM,8:00 PM,C
